GUID,ISIN,TRA_TYPE,EXECUTION_PRICE,ORDER_TIMESTAMP,EXECUTION_TIMESTAMP,STOCK_EXCHANGE,INSTR_CCY,SET_CURRENCY,TRADE_CCY,INSTR_CLASS,INSTR_SUB_CLASS,INSTR_DESC,Source,Symbol
B89E0D3F,BE0003816338,SELL,7.1441,2021-09-03 08:53:45.000,2021-09-03 16:35:27.000,XBRU,EUR,EUR,,EQTY,ORD,Euronav,787,E:EURN
4BEBF32F,FR0000121014,BUY,637.1049,2021-09-03 08:53:45.000,2021-09-03 16:35:25.000,XPAR,EUR,EUR,,SWAP,CFD_OLD,LVMH Moet Hennessy Louis Vuitton -CFD,787,E:MC
A1FF099B,NL0009767532,SELL,41.6445,2021-09-03 08:53:45.000,2021-09-03 16:35:10.000,XAMS,EUR,EUR,,EQTY,ORD,Accell Group,787,E:ACCEL
8F4D9553,ANN4327C1220,SELL,103.6936,2021-09-03 08:53:45.000,2021-09-03 16:35:06.000,XAMS,EUR,EUR,,SWAP,CFD_OLD,Hunter Douglas -CFD,787,E:HDG
FFD2AB19,FR0000127771,SELL,32.8614,2021-09-03 08:53:45.000,2021-09-03 16:35:15.000,XPAR,EUR,EUR,,EQTY,ORD,Vivendi,787,E:VIV
1B455814,US92552V1008,SELL,52.4242,2021-09-02 14:24:37.000,2021-09-02 20:59:09.000,XNGS,USD,USD,,EQTY,ORD,ViaSat,564,VSAT
A99776AF,US92552V1008,SELL,51.6962,2021-09-01 14:56:40.000,2021-09-01 16:36:43.000,XNGS,USD,USD,,EQTY,ORD,ViaSat,564,VSAT
C2E0C920,US98980L1017,BUY,295.7011,2021-09-01 14:43:48.000,2021-09-01 21:01:16.000,XNGS,USD,USD,,SWAP,CFD_OLD,Zoom Video Communications -CFD,564,ZM
A550E3B5,FR0000121014,SELL,646.7307,2021-09-01 11:44:30.000,2021-09-01 16:35:10.000,XPAR,EUR,EUR,,SWAP,CFD_OLD,LVMH Moet Hennessy Louis Vuitton -CFD,787,E:MC
071DA784,FR0000121014,SELL,641.25,2021-09-01 11:26:51.000,2021-09-01 16:35:10.000,XPAR,EUR,EUR,,SWAP,CFD_OLD,LVMH Moet Hennessy Louis Vuitton -CFD,787,E:MC
