time,open,high,low,close,Volume,Volume MA
1451917800,2038.2,2038.2,1989.68,2012.66,4304880000,3799244500
1452004200,2013.78,2021.94,2004.17,2016.71,3706620000,3773830000
1452090600,2011.71,2011.71,1979.05,1990.26,4336660000,3788472000
1452177000,1985.32,1985.32,1938.83,1943.09,5076590000,3833623000
1452263400,1945.97,1960.4,1918.46,1922.03,4664940000,3847607500
1452522600,1926.12,1935.65,1901.1,1923.67,4607290000,3892214500
1452609000,1927.83,1947.38,1914.35,1938.68,4887260000,3921524500
1452695400,1940.34,1950.33,1886.41,1890.28,5087030000,3945254000
1452781800,1891.68,1934.47,1878.93,1921.84,5241110000,3989632500
1452868200,1916.68,1916.68,1857.83,1880.33,5468460000,4031283000
1453213800,1888.66,1901.44,1864.6,1881.33,4928350000,4061331000
1453300200,1876.18,1876.18,1812.29,1859.33,6416070000,4047981000
1453386600,1861.46,1889.85,1848.98,1868.99,5078810000,4113907500
1453473000,1877.4,1908.85,1877.4,1906.9,4901760000,4182952500
1453732200,1906.28,1906.28,1875.97,1877.08,4401380000,4228817000
1453818600,1878.79,1906.73,1878.79,1903.63,4357940000,4376121000
1453905000,1902.52,1916.99,1872.7,1882.95,4754040000,4489197500
1453991400,1885.22,1902.96,1873.65,1893.36,4693010000,4596748000
1454077800,1894,1940.24,1894,1940.24,5497570000,4753255000
1454337000,1936.94,1947.2,1920.3,1939.38,4322530000,4836615000
1454423400,1935.26,1935.26,1897.29,1903.03,4463190000,4844530500
1454509800,1907.07,1918.01,1872.23,1912.53,5172950000,4917847000
1454596200,1911.67,1927.35,1900.52,1915.45,5193320000,4960680000
1454682600,1913.07,1913.07,1872.65,1880.05,4929940000,4953347500
1454941800,1873.25,1873.25,1828.46,1853.44,5636460000,5001923500
1455028200,1848.46,1868.25,1834.94,1852.21,5183220000,5030720000
1455114600,1857.1,1881.6,1850.32,1851.86,4471170000,5009915500
1455201000,1847,1847,1810.1,1829.08,5500800000,5030604000
1455287400,1833.4,1864.78,1833.4,1864.78,4696920000,5003394500
1455633000,1871.44,1895.77,1871.44,1895.58,4570670000,4958505000
1455719400,1898.8,1930.68,1898.8,1926.82,5011540000,4962664500
1455805800,1927.57,1930,1915.09,1917.83,4436490000,4863685500
1455892200,1916.74,1918.78,1902.17,1917.78,4142850000,4816887500
1456151400,1924.44,1946.7,1924.44,1945.5,4054710000,4774535000
1456237800,1942.38,1942.38,1919.44,1921.27,3890650000,4748998500
1456324200,1917.56,1932.08,1891,1929.8,4317250000,4746964000
1456410600,1931.87,1951.83,1925.41,1951.7,4118210000,4715172500
1456497000,1954.95,1962.96,1945.78,1948.05,4348510000,4697947500
1456756200,1947.13,1958.27,1931.81,1932.23,4588180000,4652478000
1456842600,1937.09,1978.35,1937.09,1978.35,4819750000,4677339000
1456929000,1976.6,1986.51,1968.8,1986.45,4666610000,4687510000
1457015400,1985.6,1993.69,1977.37,1993.4,5081700000,4682947500
1457101800,1994.01,2009.13,1986.77,1999.99,6049930000,4725778000
1457361000,1996.11,2006.12,1989.38,2001.76,4968180000,4727690000
1457447400,1996.88,1996.88,1977.43,1979.26,4641650000,4677949500
1457533800,1981.44,1992.69,1979.84,1989.26,4038120000,4620694500
1457620200,1990.97,2005.08,1969.25,1989.57,4376790000,4615975500
1457706600,1994.71,2022.37,1994.71,2022.19,4078620000,4544866500
1457962200,2019.27,2024.57,2012.05,2019.64,3487850000,4484413000
1458048600,2015.27,2015.94,2005.23,2015.93,3560280000,4433893500
1458135000,2014.24,2032.02,2010.04,2027.22,4057020000,4386167500
1458221400,2026.9,2046.24,2022.16,2040.59,4530480000,4390867000
1458307800,2041.16,2052.36,2041.16,2049.58,6503140000,4508881500
